IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:401068,+Archimetro@en, geometry, surveying instruments, surveying instruments, surveyors' compasses ,steel, , , , , , ,
urn:imss:instrument:402030,+Archimetro@en, geometry, surveying instruments, scientific instruments , surveyors' compasses ,iron ,brass, , , , , ,
urn:imss:instrument:402089,+Noon cannon@en, astronomy, sundials , , ,marble ,brass, , , , , ,
urn:imss:instrument:401130,+Organum Mathematicum@en, mathematics; geometry, scientific instruments , , ,wood, , , , , , ,
urn:imss:instrument:401066,+Radio latino@en, geometry, measuring devices, surveying instruments, scientific instruments ,brass, , , , , , ,
urn:imss:instrument:403009,+Radio latino@en, geometry, measuring devices, surveying instruments, scientific instruments ,brass, , , , , , ,
urn:imss:instrument:401067,+Radio latino@en, geometry, measuring devices, surveying instruments, scientific instruments ,brass, , , , , , ,
urn:imss:instrument:401065,+Radio latino@en, geometry, measuring devices, surveying instruments, scientific instruments ,brass, , , , , , ,
urn:imss:instrument:403022,+Alidade@en, geometry, rods, surveying instruments , ,brass, , , , , , ,
urn:imss:instrument:414104,+Apparatus demonstrating electrodynamic attraction and repulsion@en, electrical engineering, scientific instruments , , ,boxwood ,brass, , , , , ,
urn:imss:instrument:414055,+Apparatus demonstrating pointed and ball lightning conductors@en, electrical engineering, lightning rods , , ,wood ,glass ,tinfoil ,brass, , , ,
urn:imss:instrument:416003,+Apparatus for experiments on the shock of bodies@en, mechanical engineering; mechanics, scientific instruments , , ,ivory ,wood ,brass, , , , ,
urn:imss:instrument:404018,+Apparatus for Galilean experiments@en, mechanics, scientific instruments , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:417022,+Apparatus for showing stable equilibrium@en, mechanics, scientific instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:416002,+Apparatus for showing the effects of the centrifugal force@en, mechanics, scientific instruments , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:417017,+Apparatus for showing the hydrostatic paradox@en, mechanics, scientific instruments , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:417019,+Apparatus for showing the parabolic path of liquids@en, mechanics, scientific instruments , , ,ivory ,wood ,glass ,brass, , , ,
urn:imss:instrument:417009,+Apparatus for showing the proprieties of the wedge@en, mechanics, machines , , ,ivory ,wood ,brass, , , , ,
urn:imss:instrument:417006,+Apparatus showing the composition of forces@en, mechanics, scientific instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:417023,+Apparatus showing the composition of motion@en, mechanics; geometry, scientific instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:417002,+Apparatus to demonstrate the isochronism of falls along a spiral@en, mechanics, scientific instruments , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:417003,+Apparatus to demonstrate the parabolic trajectory of projectiles@en, mechanics; geometry, scientific instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:416004,+Apparatus to demonstrate the tautochronism of the cycloid@en, mechanics, scientific instruments, equipment , ,wood ,brass, , , , , ,
urn:imss:instrument:417001,+Apparatus to illustrate reflection in elastic shocks@en, mechanics, scientific instruments , , ,wood ,porphyry ,brass, , , , ,
urn:imss:instrument:417004,+Apparatus to study elastic and inelastic shocks@en, mechanics, scientific instruments , , ,ivory ,wood ,brass, , , , ,
urn:imss:instrument:417026,+Apparatus to study the composition of elastic shocks@en, mechanics, scientific instruments , , ,ivory ,wood ,brass, , , , ,
urn:imss:instrument:417010,+Apparatus with simple machines@en, mechanics, machines , , ,wood ,brass, , , , , ,
urn:imss:instrument:404004,+Application of the pendulum to the clock@en, mechanics, pendulums, clocks , ,paper, , , , , , ,
urn:imss:instrument:401005,+Arab astrolabe@en, astronomy, astrolabes , , ,brass, , , , , , ,
urn:imss:instrument:401003,+Arab astrolabe@en, astronomy, astrolabes , , ,brass, , , , , , ,
urn:imss:instrument:401004,+Arab astrolabe@en, astronomy, astrolabes , , ,brass, , , , , , ,
